LANGUAGE,"English","Czech"
STR_CELO_LoadText,"Patrol","Patrola"
STR_CELO_MissionName,"When The Jungle is Silent","Když džungle ztichla"
STR_CELO_Created,"created","created"
STR_CELO_CreatorName,"Celoush","Celoush",
STR_CELO_By,"by","by",
STR_CELO_DiaryName,"When The Jungle is Silent","Když džungle ztichla"
STR_CELO_DiaryDescription,"We have new intel about position of enemy bunker. We will be dropped nearby and our task is locate and search bunker. We have air support. Enemy contact is expected.","Ze vzduchu byla zaznamenána pozice nepřátelského bunkru. Budeme vysazeni poblíž. Našim úkolem je bunkr lokalizovat a prohledat. Máme k dispozici leteckou podporu. V okolí je očekáván kontakt s nepřítelem."
STR_CELO_Mission,"Mission","Mise"
STR_CELO_MissionType,"Patrol","Patrola"
STR_CELO_Date,"Date","Datum"
STR_CELO_Time,"Time","Čas"
STR_CELO_Position,"Location","Místo"
STR_CELO_Unit,"Unit","Jednotka"
STR_CELO_UnitName,"US Army","US Army"
STR_CELO_DEBR_title,"Congratulations","Gratulace"
STR_CELO_DEBR_description,"Today's patrol is over","Dnešní hlídka je úspěšně za tebou"
STR_CELO_Found_enemy_intel,"Found enemy intel","Nalezeny informace nepřátel"
STR_CELO_Planned_position_of_enemies,"Planned position of enemies","Očekávaná pozice nepřátel"
STR_CELO_Find_Bunker,"Find bunker","Najděte bunkr"
STR_CELO_Search_Bunker,"Search bunker","Prohledejte bunkr"
STR_CELO_Clear_enemy_position,"Clear enemy position",""
STR_CELO_Evac,"Evac","Odlet"